company_id,type,rule_id,text,confidence_pct
ABB,con,CON_FALLBACK,Five-year revenue growth of approximately 8.2% remains an area to monitor relative to higher-growth companies.,61
ABB,pro,PRO_07,Very high interest coverage or a debt-free position reflects negligible financial stress from debt servicing.,93
ABB,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,88
ABB,pro,PRO_11,Profits growing faster than revenue demonstrate improving operating leverage and scale benefits.,79
ABB,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,65
ABB,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,64
ADANIENSOL,con,CON_09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability.,94
ADANIENSOL,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,84
ADANIENSOL,con,CON_11,Net debt of approximately 4.36 times EBITDA represents high leverage and limits financial flexibility.,81
ADANIENSOL,con,CON_01,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring.,72
ADANIENSOL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital.,69
ADANIENSOL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,70
ADANIENT,con,CON_11,Net debt of approximately 3.75 times EBITDA represents high leverage and limits financial flexibility.,76
ADANIENT,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
ADANIENT,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,92
ADANIENT,pro,PRO_11,Profits growing faster than revenue demonstrate improving operating leverage and scale benefits.,92
ADANIENT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,73
ADANIENT,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,69
ADANIGREEN,con,CON_11,Net debt of approximately 6.22 times EBITDA represents high leverage and limits financial flexibility.,96
ADANIGREEN,con,CON_01,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring.,95
ADANIGREEN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,92
ADANIGREEN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,92
ADANIPORTS,con,CON_FALLBACK,Five-year revenue growth of approximately 6.4% remains an area to monitor relative to higher-growth companies.,61
ADANIPORTS,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,92
ADANIPORTS,pro,PRO_11,Profits growing faster than revenue demonstrate improving operating leverage and scale benefits.,74
ADANIPOWER,con,CON_FALLBACK,Debt-to-equity of 0.80 should be monitored for any future increase in leverage.,61
ADANIPOWER,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,96
ADANIPOWER,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ADANIPOWER,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,91
ADANIPOWER,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,82
ADANIPOWER,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,63
AMBUJACEM,con,CON_05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss.,82
AMBUJACEM,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum.,66
AMBUJACEM,pro,PRO_07,Very high interest coverage or a debt-free position reflects negligible financial stress from debt servicing.,80
AMBUJACEM,pro,PRO_11,Profits growing faster than revenue demonstrate improving operating leverage and scale benefits.,68
APOLLOHOSP,con,CON_FALLBACK,Five-year revenue growth of approximately 12.7% remains an area to monitor relative to higher-growth companies.,61
APOLLOHOSP,pro,PRO_11,Profits growing faster than revenue demonstrate improving operating leverage and scale benefits.,83
APOLLOHOSP,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,82
APOLLOHOSP,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,69
APOLLOHOSP,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,67
ASIANPAINT,con,CON_FALLBACK,Five-year revenue growth of approximately 11.5% remains an area to monitor relative to higher-growth companies.,61
ASIANPAINT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,96
ASIANPAINT,pro,PRO_07,Very high interest coverage or a debt-free position reflects negligible financial stress from debt servicing.,90
ASIANPAINT,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,84
ATGL,con,CON_FALLBACK,Latest operating margin of 24.0% remains below the strong pricing-power threshold of 25%.,61
ATGL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,74
ATGL,pro,PRO_12,Growing asset base with declining debt reflects growth supported by internal accruals.,69
AXISBANK,con,CON_11,Net debt of approximately 29.06 times EBITDA represents high leverage and limits financial flexibility.,96
AXISBANK,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,93
